narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
P01_01_0,P01,P01_01,00:01.1,00:00.1,00:03.4,8,202,open door,open,3,door,3,['door'],[3]
P01_01_1,P01,P01_01,00:02.6,00:04.4,00:06.2,262,370,turn on light,turn-on,6,light,114,['light'],[114]
P01_01_2,P01,P01_01,00:05.3,00:07.0,00:09.5,418,569,close door,close,4,door,3,['door'],[3]
P01_01_3,P01,P01_01,00:11.0,00:12.8,00:14.0,766,839,open fridge,open,3,fridge,12,['fridge'],[12]
P01_01_4,P01,P01_01,00:13.4,00:15.2,00:16.4,915,983,take celery,take,0,celery,223,['celery'],[223]
P01_01_5,P01,P01_01,00:15.0,00:16.5,00:18.1,990,1083,take container,take,0,container,21,['container'],[21]
P01_01_6,P01,P01_01,00:18.8,00:18.2,00:21.1,1091,1268,take tofu,take,0,tofu,81,['tofu'],[81]
P01_01_7,P01,P01_01,00:20.4,00:21.9,00:23.3,1314,1399,close fridge,close,4,fridge,12,['fridge'],[12]
P01_01_8,P01,P01_01,00:21.6,00:23.2,00:24.3,1390,1457,open fridge,open,3,fridge,12,['fridge'],[12]
P01_01_9,P01,P01_01,00:24.5,00:24.5,00:27.9,1468,1676,take carrots and,take,0,carrot,41,['carrot'],[41]
P01_01_10,P01,P01_01,00:23.3,00:25.0,00:26.2,1498,1572,open drawer,open,3,drawer,8,['drawer'],[8]
P01_01_11,P01,P01_01,00:28.0,00:29.2,00:31.3,1753,1879,close fridge,close,4,fridge,12,['fridge'],[12]
P01_01_12,P01,P01_01,00:29.5,00:36.7,00:37.8,2200,2266,put down vegetables,put-down,1,vegetable,94,['vegetable'],[94]
P01_01_13,P01,P01_01,00:39.8,00:41.8,00:42.5,2507,2553,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_01_14,P01,P01_01,00:44.1,00:43.2,00:46.6,2592,2798,take cutting board,take,0,board:cutting,18,['board:cutting'],[18]
P01_01_15,P01,P01_01,00:45.6,00:46.5,00:47.8,2787,2868,put down cutting board,put-down,1,board:cutting,18,['board:cutting'],[18]
P01_01_16,P01,P01_01,00:46.9,00:47.7,00:48.8,2865,2925,close cupboard,close,4,cupboard,3,['cupboard'],[3]
P01_01_17,P01,P01_01,00:50.4,00:51.7,00:53.0,3099,3180,open drawer,open,3,drawer,8,['drawer'],[8]
P01_01_18,P01,P01_01,00:54.7,00:53.5,00:56.0,3210,3360,take knife,take,0,knife,4,['knife'],[4]
P01_01_19,P01,P01_01,00:51.7,00:53.5,00:54.4,3213,3261,take knife,take,0,knife,4,['knife'],[4]
P01_01_20,P01,P01_01,00:56.7,00:54.7,00:55.7,3283,3344,put down knife,put-down,1,knife,4,['knife'],[4]
P01_01_21,P01,P01_01,00:55.7,00:56.1,00:56.6,3366,3396,close drawer,close,4,drawer,8,['drawer'],[8]
P01_01_22,P01,P01_01,00:53.7,00:57.5,00:58.7,3447,3522,put down knife,put-down,1,knife,4,['knife'],[4]
P01_01_23,P01,P01_01,00:59.1,00:59.1,01:02.3,3543,3738,open tap,turn-on,6,tap,0,['tap'],[0]
P01_01_24,P01,P01_01,01:00.1,01:01.9,01:05.2,3711,3913,wash courgette,wash,2,courgette,76,['courgette'],[76]
P01_01_25,P01,P01_01,01:08.1,01:05.2,01:13.1,3912,4387,still washing courgette,wash,2,courgette,76,['courgette'],[76]
P01_01_26,P01,P01_01,01:12.5,01:14.3,01:18.9,4457,4733,wash carrot,wash,2,carrot,41,['carrot'],[41]
P01_01_27,P01,P01_01,01:18.8,01:19.0,01:22.8,4739,4967,still washing carrot,wash,2,carrot,41,['carrot'],[41]
P01_01_28,P01,P01_01,01:20.5,01:22.2,01:23.2,4931,4991,close tap,turn-off,8,tap,0,['tap'],[0]
P01_01_29,P01,P01_01,01:24.2,01:25.5,01:26.5,5129,5189,put down vegetables,put-down,1,vegetable,94,['vegetable'],[94]
P01_01_30,P01,P01_01,01:26.3,01:27.4,01:28.3,5245,5297,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_01_31,P01,P01_01,01:32.1,01:32.5,01:34.1,5551,5645,take grater,take,0,grater,96,['grater'],[96]
P01_01_32,P01,P01_01,01:37.6,01:35.3,01:39.6,5716,5973,take pan,take,0,pan,5,['pan'],[5]
P01_01_33,P01,P01_01,01:39.1,01:40.7,01:42.3,6044,6135,put down pan,put-down,1,pan,5,['pan'],[5]
P01_01_34,P01,P01_01,01:41.3,01:41.7,01:42.4,6099,6144,close cupboard,close,4,cupboard,3,['cupboard'],[3]
P01_01_35,P01,P01_01,01:40.2,01:43.0,01:43.8,6181,6226,close cupboard,close,4,cupboard,3,['cupboard'],[3]
P01_01_36,P01,P01_01,01:43.6,01:44.1,01:45.2,6246,6313,take courgette,take,0,courgette,76,['courgette'],[76]
P01_01_37,P01,P01_01,01:44.6,01:45.7,02:02.0,6341,7321,cut courgette,cut,7,courgette,76,['courgette'],[76]
P01_01_38,P01,P01_01,02:04.5,02:02.1,02:07.0,7327,7618,turn on hob,turn-on,6,hob,24,['hob'],[24]
P01_01_39,P01,P01_01,02:05.5,02:07.8,02:24.9,7668,8693,cut courgette,cut,7,courgette,76,['courgette'],[76]
P01_01_40,P01,P01_01,02:17.5,02:11.0,02:25.8,7859,8747,still cutting courgette,cut,7,courgette,76,['courgette'],[76]
P01_01_41,P01,P01_01,02:30.4,02:30.5,02:45.7,9031,9939,dicing courgette,dice,7,courgette,76,['courgette'],[76]
P01_01_42,P01,P01_01,02:48.8,02:45.8,03:00.3,9945,10816,still dicing courgette,dice,7,courgette,76,['courgette'],[76]
P01_01_43,P01,P01_01,02:50.2,03:00.4,03:13.9,10822,11634,still dicing courgette,dice,7,courgette,76,['courgette'],[76]
P01_01_44,P01,P01_01,03:42.0,03:59.0,04:08.8,14342,14928,still dicing courgette,dice,7,courgette,76,['courgette'],[76]
P01_01_45,P01,P01_01,04:08.4,04:10.1,04:17.9,15003,15472,pour courgette onto pan,pour-onto,9,courgette,76,"['courgette', 'pan']","[76, 5]"
P01_01_46,P01,P01_01,04:21.1,04:21.7,04:24.6,15701,15878,throw courgette into rubbish bin,throw-into,13,courgette,76,"['courgette', 'bin:rubbish']","[76, 36]"
P01_01_47,P01,P01_01,04:23.2,04:25.1,04:26.4,15903,15986,open drawer,open,3,drawer,8,['drawer'],[8]
P01_01_48,P01,P01_01,04:27.0,04:28.6,04:29.2,16114,16154,close drawer,close,4,drawer,8,['drawer'],[8]
P01_01_49,P01,P01_01,04:29.0,04:30.4,04:32.2,16225,16329,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_50,P01,P01_01,04:30.4,04:32.1,04:37.9,16324,16671,stir courgette,stir,10,courgette,76,['courgette'],[76]
P01_01_51,P01,P01_01,04:38.8,04:39.6,04:41.3,16776,16881,take salt,take,0,salt,38,['salt'],[38]
P01_01_52,P01,P01_01,04:39.9,04:41.4,04:42.9,16887,16975,open salt,open,3,salt,38,['salt'],[38]
P01_01_53,P01,P01_01,04:41.4,04:42.8,04:45.1,16968,17103,pour salt onto pan,pour-onto,9,salt,38,"['salt', 'pan']","[38, 5]"
P01_01_54,P01,P01_01,04:42.7,04:45.1,04:46.8,17109,17207,put down salt,put-down,1,salt,38,['salt'],[38]
P01_01_55,P01,P01_01,04:46.3,04:47.9,04:54.2,17271,17655,stir courgette,stir,10,courgette,76,['courgette'],[76]
P01_01_56,P01,P01_01,04:53.0,04:54.4,04:55.6,17661,17736,put down spatula,put-down,1,spatula,20,['spatula'],[20]
P01_01_57,P01,P01_01,04:54.6,04:55.7,04:59.7,17742,17982,take celery,take,0,celery,223,['celery'],[223]
P01_01_58,P01,P01_01,05:08.4,05:01.2,05:15.5,18075,18930,still washing celery,wash,2,celery,223,['celery'],[223]
P01_01_59,P01,P01_01,05:00.1,05:01.3,05:03.5,18078,18207,open tap,turn-on,6,tap,0,['tap'],[0]
P01_01_60,P01,P01_01,05:01.1,05:03.6,05:15.5,18213,18929,wash celery,wash,2,celery,223,['celery'],[223]
P01_01_61,P01,P01_01,05:13.7,05:15.0,05:15.9,18901,18956,close tap,turn-off,8,tap,0,['tap'],[0]
P01_01_62,P01,P01_01,05:17.2,05:18.2,05:20.0,19095,19200,put down celery,put-down,1,celery,223,['celery'],[223]
